,광수
0,요리주점
2,육류
5,우동
6,일식당
7,카페
11,스파게티
12,국밥
15,케이크전문
16,브런치
18,중식당
19,이탈리아음식
20,피자
21,분식
22,양식
24,닭갈비
25,일본식라면
26,이자카야
27,오므라이스
28,한식
29,김밥
30,베이커리
31,일식튀김
32,스테이크
33,맥주
34,돈가스
35,햄버거
37,다이어트
38,떡볶이
39,멕시코
41,카레
42,덮밥
44,초밥
46,태국음식
47,일식
48,냉면
49,찌개
51,딤섬
52,돼지고기구이
54,전통
55,주꾸미요리
56,곱창
57,양갈비
59,바(BAR)
60,치킨
62,오뎅
63,베트남음식
64,족발
65,국수
66,인도음식
67,이북음식
68,생선회
69,소고기구이
70,도넛
71,닭발
72,종합분식
73,와인
74,프랑스음식
75,홍차전문점
76,양꼬치
78,아이스크림
79,샤브샤브
80,해물
81,퓨전음식
82,샌드위치
83,백반
84,빙수
85,기사식당
86,뷔페
87,매운탕
88,포장마차
89,패밀리레스토랑
90,스페인음식
91,감자탕
92,전
94,곰탕
95,순대
96,칼국수
98,터키음식
99,한정식
100,아시아음식
101,백숙삼계탕
102,페밀리레스토랑
103,쭈꾸미요리
104,장어
105,중식
106,만두
107,아귀찜
108,추어탕
109,생선구이
110,두부요리
111,정육식당
112,술집
113,닭볶음탕
114,대게요리
115,게요리
116,베이글
117,케이크
