name,gubun,score,visitCount,blogCount
맥썸 대학로점,"맥주,호프",4.4/5,방문자 리뷰_ 246,블로그 리뷰_ 41
비어오크,"맥주,호프",4.47/5,방문자 리뷰_ 529,블로그 리뷰_ 203
눅,요리주점,4.47/5,방문자 리뷰_ 2,블로그 리뷰_ 1
은행골 대학로점,"초밥,롤",4.3/5,방문자 리뷰_ 354,블로그 리뷰_ 292
달팽이카페,브런치,4.73/5,방문자 리뷰_ 96,블로그 리뷰_ 130
통큰갈비 대학로점,"육류,고기요리",4.38/5,방문자 리뷰_ 262,블로그 리뷰_ 220
라뜰리에 꼼때,프랑스음식,4.97/5,방문자 리뷰_ 25,블로그 리뷰_ 72
정통집 대학로점,돼지고기구이,4.32/5,방문자 리뷰_ 158,블로그 리뷰_ 56
페이브베이커리 대학로점,"카페,디저트",4.32/5,방문자 리뷰_ 87,블로그 리뷰_ 22
머노까머나 대학로점,인도음식,4.54/5,"방문자 리뷰_ 1,150","블로그 리뷰_ 1,300"
헤이커피,"카페,디저트",4.61/5,방문자 리뷰_ 323,블로그 리뷰_ 389
카페 사흘,카페,4.59/5,방문자 리뷰_ 145,블로그 리뷰_ 148
솔트24,베이커리,4.47/5,방문자 리뷰_ 852,블로그 리뷰_ 90
리춘시장 대학로CGV점,중식당,4.23/5,방문자 리뷰_ 335,블로그 리뷰_ 50
돈돈정 대학로점,일식당,4.16/5,방문자 리뷰_ 573,블로그 리뷰_ 505
명륜포차,포장마차,4.33/5,방문자 리뷰_ 212,블로그 리뷰_ 73
대한맥주집 대학로점,"치킨,닭강정",4.26/5,방문자 리뷰_ 212,블로그 리뷰_ 357
카페 선선혜화,"카페,디저트",4.65/5,방문자 리뷰_ 142,블로그 리뷰_ 111
맥덕스,"맥주,호프",4.71/5,방문자 리뷰_ 57,블로그 리뷰_ 323
프루스트,공방,4.97/5,"방문자 리뷰_ 2,778",블로그 리뷰_ 298
경성양꼬치 혜화점,양꼬치,4.38/5,방문자 리뷰_ 99,블로그 리뷰_ 401
명륜동식당,"육류,고기요리",4.29/5,방문자 리뷰_ 152,블로그 리뷰_ 27
유캔하이x육미안,소고기구이,4.29/5,방문자 리뷰_ 87,블로그 리뷰_ 51
아도레 쿠치나,"스파게티,파스타전문",4.47/5,방문자 리뷰_ 348,블로그 리뷰_ 93
육수당 대학로점,국밥,4.28/5,방문자 리뷰_ 609,블로그 리뷰_ 202
환식당,양식,4.37/5,방문자 리뷰_ 75,블로그 리뷰_ 23
청산손만두,만두,4.46/5,방문자 리뷰_ 189,블로그 리뷰_ 131
역전할머니맥주 대학로점,"맥주,호프",4.41/5,방문자 리뷰_ 762,블로그 리뷰_ 66
카페랑솜,카페,4.54/5,방문자 리뷰_ 374,블로그 리뷰_ 252
아뻬 서울,"카페,디저트",4.59/5,방문자 리뷰_ 128,블로그 리뷰_ 146
케익아이메이드 대학로점,케이크전문,4.13/5,방문자 리뷰_ 166,블로그 리뷰_ 284
혜화역4번출구 카페 제이드,"카페,디저트",4.54/5,방문자 리뷰_ 130,블로그 리뷰_ 93
기꾸스시,"초밥,롤",4.35/5,방문자 리뷰_ 463,블로그 리뷰_ 126
PIT A PAT,북카페,4.49/5,방문자 리뷰_ 188,블로그 리뷰_ 67
재팔이네닭발 대학로점,닭발,4.72/5,방문자 리뷰_ 82,블로그 리뷰_ 132
퀸101,바(BAR),4.78/5,방문자 리뷰_ 73,블로그 리뷰_ 98
행운삼겹살,"육류,고기요리",4.43/5,방문자 리뷰_ 76,블로그 리뷰_ 32
오도레D,이탈리아음식,4.83/5,방문자 리뷰_ 94,블로그 리뷰_ 63
훠궈나라 대학로본점,중식당,4.37/5,방문자 리뷰_ 379,블로그 리뷰_ 360
바이미디저트,"카페,디저트",4.65/5,방문자 리뷰_ 117,블로그 리뷰_ 73
혜화시장,요리주점,4.55/5,방문자 리뷰_ 186,블로그 리뷰_ 133
틈새라면대학로점,분식,4.51/5,방문자 리뷰_ 148,블로그 리뷰_ 145
별달밤,"카페,디저트",4.7/5,방문자 리뷰_ 36,블로그 리뷰_ 1
이공오도씨,카페,4.54/5,방문자 리뷰_ 186,블로그 리뷰_ 177
블루룸,"카페,디저트",4.65/5,방문자 리뷰_ 187,블로그 리뷰_ 337
대학로쭈왕쭈꾸미,주꾸미요리,4.29/5,방문자 리뷰_ 106,블로그 리뷰_ 84
마로화적,"육류,고기요리",4.31/5,방문자 리뷰_ 132,블로그 리뷰_ 148
심야식당,요리주점,4.51/5,방문자 리뷰_ 151,블로그 리뷰_ 97
히든스시,"초밥,롤",4.18/5,방문자 리뷰_ 53,블로그 리뷰_ 102
육회한연어 대학로점,요리주점,4.35/5,방문자 리뷰_ 291,블로그 리뷰_ 114
